Cluster_ID,PA14_ID (for reference),Gene description (PATRIC),Turner K.H. et al 2015,Lee S.A. et al 2015,Skurnik D. et al 2013,Liberati N.T. et al 2006,This study
7025,PA14_52640,Putative GTPases (G3E family),,,E,,
9364,PA14_52850,"Similar to citrate lyase beta chain, 3",,,E,,
6232,PA14_53800,Manganese transport protein MntH,,,E,,
3841,PA14_53870,FIG016502: iron uptake protein,,,E,,
8863,PA14_54330,Ribonuclease III (EC 3.1.26.3),,,E,,
5947,PA14_54370,Translation elongation factor LepA,,,E,,
6616,PA14_54390,HtrA protease/chaperone protein,,,E,,
9038,PA14_54660,3-hydroxyisobutyryl-CoA hydrolase (EC 3.1.2.4),,,E,,
4178,PA14_54730,hypothetical protein,,,E,,
7667,PA14_54790,NA,,,E,,
3671,PA14_55290,hypothetical protein,,,E,,
4041,PA14_55340,Biopolymer transport protein ExbD/TolR,,,E,,
8549,PA14_55460,General secretion pathway protein M,,,E,,
4709,PA14_55520,General secretion pathway protein H,,,E,,
8661,PA14_55530,General secretion pathway protein J,,,E,,
NA,PA14_55620,NA,,,E,,
NA,PA14_55631,NA,,,E,,
NA,PA14_55634,NA,,,E,,
NA,PA14_55635,NA,,,E,,
NA,PA14_55637,NA,,,E,,
6966,PA14_55840,hypothetical protein,,,E,,
9282,PA14_56910,hypothetical protein,,,E,E,
3803,PA14_57110,Small-conductance mechanosensitive channel,,,E,,
5824,PA14_57170,Sensory box histidine kinase,,,E,,
3641,PA14_57320,D-alanine--D-alanine ligase (EC 6.3.2.4),,,E,,
6658,PA14_57460,Cell division protein MraZ,,,E,,
6522,PA14_57540,"Ubiquinol-cytochrome C reductase, cytochrome C1 subunit",,,E,,
4956,PA14_57560,"Ubiquinol-cytochrome C reductase, cytochrome B subunit (EC 1.10.2.2)",,,E,,
5952,PA14_57570,Ubiquinol-cytochrome C reductase iron-sulfur subunit (EC 1.10.2.2),,,E,,
6787,PA14_57820,YrbA protein,,,E,,
8559,PA14_57830,Phospholipid ABC transporter-binding protein MlaB,,,E,E,
8135,PA14_57900,3-deoxy-D-manno-octulosonate 8-phosphate phosphatase (EC 3.1.3.45),,,E,,
3329,PA14_57950,Ribosome hibernation promoting factor Hpf,,,E,,
4447,PA14_57960,PTS IIA-like nitrogen-regulatory protein PtsN,,,E,,
7856,PA14_58600,"FOG: TPR repeat, SEL1 subfamily",,,E,,
7654,PA14_58860,NA,,,E,E,
1103,PA14_58940,hypothetical protein,,,E,,
4900,PA14_58980,NA,,,E,,
3524,PA14_59030,NA,,,E,,
6637,PA14_59050,Nucleoid-associated protein NdpA,,,E,,
2842,PA14_59110,NA,,,E,,
NA,PA14_60160,NA,,,E,,
4753,PA14_60350,NA,,,E,E,
8343,PA14_60860,Transcriptional regulator NfxB,,,E,,
4666,PA14_60960,hypothetical protein,,,E,,
7490,PA14_61400,Malate:quinone oxidoreductase (EC 1.1.5.4),,,E,,
NA,PA14_61760,NA,,,E,,
5386,PA14_61780,LSU ribosomal protein L25p,,,E,,
NA,PA14_62050,NA,,,E,,
NA,PA14_62060,NA,,,E,,
NA,PA14_62070,NA,,,E,,
NA,PA14_62080,NA,,,E,,
NA,PA14_62090,NA,,,E,,
8918,PA14_62490,RNA polymerase-binding transcription factor DksA,,,E,,
7849,PA14_62560,Poly(A) polymerase (EC 2.7.7.19),,,E,,
7852,PA14_62590,Pantoate--beta-alanine ligase (EC 6.3.2.1),,,E,,
4094,PA14_62740,Ribosome-binding factor A,,,E,,
NA,PA14_62800,NA,,,E,,
194,PA14_62810,Protein translocase membrane subunit SecG,,,E,,
6542,PA14_62870,23S rRNA (uridine(2552)-2'-O)-methyltransferase (EC 2.1.1.166),,,E,,
5880,PA14_62900,Transcription elongation factor GreA,,,E,,
5881,PA14_62910,Carbamoyl-phosphate synthase large chain (EC 6.3.5.5),,,E,,
3993,PA14_63050,Ribosome association toxin RatA,,,E,,
4263,PA14_63300,hypothetical protein,,,E,,
7776,PA14_63360,NA,,,E,,
2234,PA14_63420,NA,,,E,,
7324,PA14_63530,Selenocysteine-specific translation elongation factor,,,E,,
4080,PA14_63750,Sodium-dependent phosphate transporter,,,E,,
6436,PA14_63820,hypothetical protein,,,E,E,
8408,PA14_64000,Translation initiation factor SUI1-related protein,,,E,,
6238,PA14_64530,NA,,,E,,
8592,PA14_64930,Nudix-related transcriptional regulator NrtR,,,E,,
NA,PA14_65210,NA,,,E,,
NA,PA14_65220,NA,,,E,,
4575,PA14_65260,NA,,,E,E,
4581,PA14_65280,HflK protein,,,E,,
7476,PA14_65310,RNA-binding protein Hfq,,,E,E,
4795,PA14_66170,Carbamoyltransferase in large core OS assembly cluster,,,E,,
8899,PA14_66200,hypothetical protein,,,E,,
4719,PA14_66290,Pyruvate dehydrogenase E1 component (EC 1.2.4.1),,,E,,
4465,PA14_66710,"LSU ribosomal protein L31p @ LSU ribosomal protein L31p, zinc-dependent",,,E,,
9103,PA14_66970,Twin-arginine translocation protein TatB,,,E,E,
8614,PA14_66980,Twin-arginine translocation protein TatC,,,E,,
3708,PA14_66990,Uncharacterized methyltransferase PA5071,,,E,E,
9120,PA14_67960,hypothetical protein,,,E,,
NA,PA14_68010,NA,,,E,,
6969,PA14_68670,Muramoyltetrapeptide carboxypeptidase (EC 3.4.17.13),,,E,,
9263,PA14_68680,Osmolarity sensory histidine kinase EnvZ,,,E,,
6982,PA14_68700,Two-component system response regulator OmpR,,,E,,
6316,PA14_69000,Xaa-Pro aminopeptidase (EC 3.4.11.9),,,E,,
6076,PA14_69060,Inner membrane transport permease YhhJ,,,E,,
9388,PA14_69070,Ribosome-associated ATPase RbbA,,,E,,
9073,PA14_69090,HlyD-like membrane fusion protein YhiI,,,E,,
4150,PA14_69550,NA,,,E,,
7393,PA14_69710,Site-specific tyrosine recombinase XerC,,,E,,
4358,PA14_69820,NA,,,E,,
8436,PA14_70450,NA,,,E,,
8781,PA14_70680,"Glycolate dehydrogenase (EC 1.1.99.14), FAD-binding subunit GlcE",,,E,,
6726,PA14_70810,Phosphate transport ATP-binding protein PstB (TC 3.A.1.7.1),,,E,,
5955,PA14_70850,Phosphate transport system permease protein PstC (TC 3.A.1.7.1),,,E,,
NA,PA14_70870,NA,,,E,,
NA,PA14_70880,NA,,,E,,
NA,PA14_70890,NA,,,E,,
NA,PA14_70900,NA,,,E,,
NA,PA14_70910,NA,,,E,,
3168,PA14_71400,NA,,,E,,
3627,PA14_71600,N5-carboxyaminoimidazole ribonucleotide synthase (EC 6.3.4.18),,,E,,
7201,PA14_71620,N5-carboxyaminoimidazole ribonucleotide mutase (EC 5.4.99.18),,,E,,
8838,PA14_72200,Peptide chain release factor homolog,,,E,,
3285,PA14_01560,Protein PhnA,,,,E,
5573,PA14_06580,NA,,,,E,
4440,PA14_06730,NA,,,,E,
8517,PA14_06860,NA,,,,E,
4639,PA14_08190,hypothetical protein,,,,E,
9088,PA14_08250,Phage minor tail protein,,,,E,
5496,PA14_11010,NA,,,,E,
4724,PA14_11150,"Transcriptional regulator, Xre family",,,,E,
7942,PA14_12970,Alpha-ketoglutarate-dependent taurine dioxygenase (EC 1.14.11.17),,,,E,
4882,PA14_13680,Putative short-chain dehydrogenase,,,,E,
5281,PA14_14160,Putative transferase,,,,E,
4842,PA14_14250,hypothetical protein,,,,E,
4067,PA14_15110,hypothetical protein,,,,E,
9024,PA14_17490,4Fe-4S dicluster domain / Domain of unknown function DUF3470,,,,E,
4971,PA14_18800,Copper chaperone,,,,E,
3165,PA14_18930,Electron transport complex protein RnfB,,,,E,
5849,PA14_19590,Organosulfonate utilization protein SsuF,,,,E,
8018,PA14_25520,FIG002473: Protein YcaR in KDO2-Lipid A biosynthesis cluster,,,,E,
6099,PA14_25930,Cobalamin biosynthesis protein CobE,,,,E,
6257,PA14_27170,NA,,,,E,
7978,PA14_28500,hypothetical protein,,,,E,
7714,PA14_29600,"6-carboxy-5,6,7,8-tetrahydropterin synthase (EC 4.1.2.50)",,,,E,
4596,PA14_29750,hypothetical protein,,,,E,
3860,PA14_30270,Leucyl/phenylalanyl-tRNA--protein transferase (EC 2.3.2.6),,,,E,
3913,PA14_30770,"Transcriptional regulator, AsnC family",,,,E,
2608,PA14_31360,hypothetical protein,,,,E,
7124,PA14_31750,Acyl-CoA:1-acyl-sn-glycerol-3-phosphate acyltransferase (EC 2.3.1.51),,,,E,
5336,PA14_32710,"FIG006045: Sigma factor, ECF subfamily",,,,E,
7403,PA14_33800,"Sigma-70 factor FpvI (ECF subfamily), controling pyoverdin biosynthesis @ FIG006045: Sigma factor, ECF subfamily",,,,E,
7631,PA14_33920,"Two-component transcriptional response regulator, LuxR family",,,,E,
5490,PA14_34030,Putative cytoplasmic protein USSDB7A,,,,E,
3630,PA14_34370,"Various polyols ABC transporter, ATP-binding protein",,,,E,
5374,PA14_34580,Acyl-CoA dehydrogenase; probable dibenzothiophene desulfurization enzyme,,,,E,
4711,PA14_34700,Beta-lactamase class C-like and penicillin binding proteins (PBPs) superfamily,,,,E,
5795,PA14_34740,hypothetical protein,,,,E,
8986,PA14_35040,Phosphoenolpyruvate carboxykinase [ATP] (EC 4.1.1.49),,,,E,
7604,PA14_35170,Redox-sensitive transcriptional activator SoxR,,,,E,
7337,PA14_35200,Histone acetyltransferase HPA2 and related acetyltransferases,,,,E,
5636,PA14_36530,NAD-dependent aldehyde dehydrogenases,,,,E,
4940,PA14_36560,hypothetical protein,,,,E,
3143,PA14_36850,hypothetical protein,,,,E,
5447,PA14_37910,"Transcriptional regulator, LysR family",,,,E,
7380,PA14_38020,hypothetical protein,,,,E,
4261,PA14_38270,hypothetical protein,,,,E,
3225,PA14_39100,hypothetical protein,,,,E,
6721,PA14_39540,"Periplasmic aromatic aldehyde oxidoreductase, iron-sulfur subunit YagT",,,,E,
6727,PA14_39630,hypothetical transporter PduT for various metalloporphyrins,,,,E,
6958,PA14_40150,"Transcriptional regulator, Xre-family with cupin domain",,,,E,
3452,PA14_42180,"Glutamine amidotransferase, class I",,,,E,
8243,PA14_42300,Type III secretion spans bacterial envelope protein (YscG),,,,E,
4069,PA14_42540,Type III secretion outermembrane negative regulator of secretion (TyeA),,,,E,
6303,PA14_43230,hypothetical protein,,,,E,
8258,PA14_43570,Threonine efflux protein,,,,E,
8901,PA14_43580,"Transcriptional regulator, AraC family",,,,E,
6173,PA14_43600,"1,4-dihydroxy-2-naphthoyl-CoA hydrolase (EC 3.1.2.28) in menaquinone biosynthesis",,,,E,
7885,PA14_44140,hypothetical protein,,,,E,
8782,PA14_44170,hypothetical protein,,,,E,
8707,PA14_44780,"Transcriptional regulator, GntR family",,,,E,
5670,PA14_45620,Chemotaxis regulator - transmits chemoreceptor signals to flagellar motor components CheY,,,,E,
7709,PA14_46390,NA,,,,E,
7273,PA14_46740,tRNA proofreading protein STM4549,,,,E,
4737,PA14_47010,hypothetical protein,,,,E,
9015,PA14_47420,NA,,,,E,
4822,PA14_48550,hypothetical protein,,,,E,
7276,PA14_48620,hypothetical protein,,,,E,
7831,PA14_48750,hypothetical protein,,,,E,
5244,PA14_50510,NA,,,,E,
6338,PA14_52500,hypothetical protein,,,,E,
5958,PA14_53690,NA,,,,E,
7030,PA14_56670,NA,,,,E,
6197,PA14_58210,Rare lipoprotein A,,,,E,
NA,PA14_65600,NA,,,,E,
8190,PA14_65690,"3',5'-cyclic-nucleotide phosphodiesterase (EC 3.1.4.17)",,,,E,
7091,PA14_66610,Shikimate kinase I (EC 2.7.1.71),,,,E,
6354,PA14_66720,Helicase PriA essential for oriC/DnaA-independent DNA replication,,,,E,
7595,PA14_66960,NA,,,,E,
5756,PA14_67700,hypothetical protein,,,,E,
5382,PA14_69200,Thioredoxin,,,,E,
4601,PA14_69660,Diaminopimelate decarboxylase and/or diaminopimelate epimerase leader peptide,,,,E,
4309,PA14_71300,"Electron transfer flavoprotein, alpha subunit",,,,E,
3120,PA14_71370,hypothetical protein,,,,E,
162,PA14_71380,hypothetical protein,,,,E,
3504,PA14_72070,NA,,,,E,
